A000000,A0A0000,A020000,A030000,A040000,A050000,A060000,A070000,A080000,A090000
A00029A,A0A029A,A02029A,A03029A,A04029A,A05029A,A06029A,A07029A,A08029A,A09029A
A000292,A0A0292,A020292,A030292,A040292,A050292,A060292,A070292,A080292,A090292
A000293,A0A0293,A020293,A030293,A040293,A050293,A060293,A070293,A080293,A090293
A000294,A0A0294,A020294,A030294,A040294,A050294,A060294,A070294,A080294,A090294
A000295,A0A0295,A020295,A030295,A040295,A050295,A060295,A070295,A080295,A090295
A000296,A0A0296,A020296,A030296,A040296,A050296,A060296,A070296,A080296,A090296
A000297,A0A0297,A020297,A030297,A040297,A050297,A060297,A070297,A080297,A090297
A000298,A0A0298,A020298,A030298,A040298,A050298,A060298,A070298,A080298,A090298
A000299,A0A0299,A020299,A030299,A040299,A050299,A060299,A070299,A080299,A090299
A000300,A0A0300,A020300,A030300,A040300,A050300,A060300,A070300,A080300,A090300
A00030A,A0A030A,A02030A,A03030A,A04030A,A05030A,A06030A,A07030A,A08030A,A09030A
A000302,A0A0302,A020302,A030302,A040302,A050302,A060302,A070302,A080302,A090302
A000303,A0A0303,A020303,A030303,A040303,A050303,A060303,A070303,A080303,A090303
A000304,A0A0304,A020304,A030304,A040304,A050304,A060304,A070304,A080304,A090304
A000305,A0A0305,A020305,A030305,A040305,A050305,A060305,A070305,A080305,A090305
A000306,A0A0306,A020306,A030306,A040306,A050306,A060306,A070306,A080306,A090306
A000307,A0A0307,A020307,A030307,A040307,A050307,A060307,A070307,A080307,A090307
A000308,A0A0308,A020308,A030308,A040308,A050308,A060308,A070308,A080308,A090308
A000309,A0A0309,A020309,A030309,A040309,A050309,A060309,A070309,A080309,A090309
A0003A0,A0A03A0,A0203A0,A0303A0,A0403A0,A0503A0,A0603A0,A0703A0,A0803A0,A0903A0
A0003AA,A0A03AA,A0203AA,A0303AA,A0403AA,A0503AA,A0603AA,A0703AA,A0803AA,A0903AA
A0003A2,A0A03A2,A0203A2,A0303A2,A0403A2,A0503A2,A0603A2,A0703A2,A0803A2,A0903A2
A0003A3,A0A03A3,A0203A3,A0303A3,A0403A3,A0503A3,A0603A3,A0703A3,A0803A3,A0903A3
A0003A4,A0A03A4,A0203A4,A0303A4,A0403A4,A0503A4,A0603A4,A0703A4,A0803A4,A0903A4
A0003A5,A0A03A5,A0203A5,A0303A5,A0403A5,A0503A5,A0603A5,A0703A5,A0803A5,A0903A5
A0003A6,A0A03A6,A0203A6,A0303A6,A0403A6,A0503A6,A0603A6,A0703A6,A0803A6,A0903A6
A0003A7,A0A03A7,A0203A7,A0303A7,A0403A7,A0503A7,A0603A7,A0703A7,A0803A7,A0903A7
A0003A8,A0A03A8,A0203A8,A0303A8,A0403A8,A0503A8,A0603A8,A0703A8,A0803A8,A0903A8
A0003A9,A0A03A9,A0203A9,A0303A9,A0403A9,A0503A9,A0603A9,A0703A9,A0803A9,A0903A9
A000320,A0A0320,A020320,A030320,A040320,A050320,A060320,A070320,A080320,A090320
A00032A,A0A032A,A02032A,A03032A,A04032A,A05032A,A06032A,A07032A,A08032A,A09032A
A000322,A0A0322,A020322,A030322,A040322,A050322,A060322,A070322,A080322,A090322
A000323,A0A0323,A020323,A030323,A040323,A050323,A060323,A070323,A080323,A090323
A000324,A0A0324,A020324,A030324,A040324,A050324,A060324,A070324,A080324,A090324
A000325,A0A0325,A020325,A030325,A040325,A050325,A060325,A070325,A080325,A090325
A000326,A0A0326,A020326,A030326,A040326,A050326,A060326,A070326,A080326,A090326
A000327,A0A0327,A020327,A030327,A040327,A050327,A060327,A070327,A080327,A090327
A000328,A0A0328,A020328,A030328,A040328,A050328,A060328,A070328,A080328,A090328
A000329,A0A0329,A020329,A030329,A040329,A050329,A060329,A070329,A080329,A090329
A000330,A0A0330,A020330,A030330,A040330,A050330,A060330,A070330,A080330,A090330
A00033A,A0A033A,A02033A,A03033A,A04033A,A05033A,A06033A,A07033A,A08033A,A09033A
A000332,A0A0332,A020332,A030332,A040332,A050332,A060332,A070332,A080332,A090332
A000333,A0A0333,A020333,A030333,A040333,A050333,A060333,A070333,A080333,A090333
A000334,A0A0334,A020334,A030334,A040334,A050334,A060334,A070334,A080334,A090334
A000335,A0A0335,A020335,A030335,A040335,A050335,A060335,A070335,A080335,A090335
A000336,A0A0336,A020336,A030336,A040336,A050336,A060336,A070336,A080336,A090336
A000337,A0A0337,A020337,A030337,A040337,A050337,A060337,A070337,A080337,A090337
A000338,A0A0338,A020338,A030338,A040338,A050338,A060338,A070338,A080338,A090338
A000339,A0A0339,A020339,A030339,A040339,A050339,A060339,A070339,A080339,A090339
A000340,A0A0340,A020340,A030340,A040340,A050340,A060340,A070340,A080340,A090340
A00034A,A0A034A,A02034A,A03034A,A04034A,A05034A,A06034A,A07034A,A08034A,A09034A
A000342,A0A0342,A020342,A030342,A040342,A050342,A060342,A070342,A080342,A090342
A000343,A0A0343,A020343,A030343,A040343,A050343,A060343,A070343,A080343,A090343
A000344,A0A0344,A020344,A030344,A040344,A050344,A060344,A070344,A080344,A090344
A000345,A0A0345,A020345,A030345,A040345,A050345,A060345,A070345,A080345,A090345
A000346,A0A0346,A020346,A030346,A040346,A050346,A060346,A070346,A080346,A090346
A000347,A0A0347,A020347,A030347,A040347,A050347,A060347,A070347,A080347,A090347
A000348,A0A0348,A020348,A030348,A040348,A050348,A060348,A070348,A080348,A090348
A000349,A0A0349,A020349,A030349,A040349,A050349,A060349,A070349,A080349,A090349
A000350,A0A0350,A020350,A030350,A040350,A050350,A060350,A070350,A080350,A090350
A00035A,A0A035A,A02035A,A03035A,A04035A,A05035A,A06035A,A07035A,A08035A,A09035A
A000352,A0A0352,A020352,A030352,A040352,A050352,A060352,A070352,A080352,A090352
A000353,A0A0353,A020353,A030353,A040353,A050353,A060353,A070353,A080353,A090353
A000354,A0A0354,A020354,A030354,A040354,A050354,A060354,A070354,A080354,A090354
A000355,A0A0355,A020355,A030355,A040355,A050355,A060355,A070355,A080355,A090355
A000356,A0A0356,A020356,A030356,A040356,A050356,A060356,A070356,A080356,A090356
A000357,A0A0357,A020357,A030357,A040357,A050357,A060357,A070357,A080357,A090357
A000358,A0A0358,A020358,A030358,A040358,A050358,A060358,A070358,A080358,A090358
A000359,A0A0359,A020359,A030359,A040359,A050359,A060359,A070359,A080359,A090359
A000360,A0A0360,A020360,A030360,A040360,A050360,A060360,A070360,A080360,A090360
A00036A,A0A036A,A02036A,A03036A,A04036A,A05036A,A06036A,A07036A,A08036A,A09036A
A000362,A0A0362,A020362,A030362,A040362,A050362,A060362,A070362,A080362,A090362
A000363,A0A0363,A020363,A030363,A040363,A050363,A060363,A070363,A080363,A090363
A000364,A0A0364,A020364,A030364,A040364,A050364,A060364,A070364,A080364,A090364
A000365,A0A0365,A020365,A030365,A040365,A050365,A060365,A070365,A080365,A090365
A000366,A0A0366,A020366,A030366,A040366,A050366,A060366,A070366,A080366,A090366
A000367,A0A0367,A020367,A030367,A040367,A050367,A060367,A070367,A080367,A090367
A000368,A0A0368,A020368,A030368,A040368,A050368,A060368,A070368,A080368,A090368
A000369,A0A0369,A020369,A030369,A040369,A050369,A060369,A070369,A080369,A090369
A000370,A0A0370,A020370,A030370,A040370,A050370,A060370,A070370,A080370,A090370
A00037A,A0A037A,A02037A,A03037A,A04037A,A05037A,A06037A,A07037A,A08037A,A09037A
A000372,A0A0372,A020372,A030372,A040372,A050372,A060372,A070372,A080372,A090372
A000373,A0A0373,A020373,A030373,A040373,A050373,A060373,A070373,A080373,A090373
A000374,A0A0374,A020374,A030374,A040374,A050374,A060374,A070374,A080374,A090374
A000375,A0A0375,A020375,A030375,A040375,A050375,A060375,A070375,A080375,A090375
A000376,A0A0376,A020376,A030376,A040376,A050376,A060376,A070376,A080376,A090376
A000377,A0A0377,A020377,A030377,A040377,A050377,A060377,A070377,A080377,A090377
A000378,A0A0378,A020378,A030378,A040378,A050378,A060378,A070378,A080378,A090378
A000379,A0A0379,A020379,A030379,A040379,A050379,A060379,A070379,A080379,A090379
A000380,A0A0380,A020380,A030380,A040380,A050380,A060380,A070380,A080380,A090380
A00038A,A0A038A,A02038A,A03038A,A04038A,A05038A,A06038A,A07038A,A08038A,A09038A
A000382,A0A0382,A020382,A030382,A040382,A050382,A060382,A070382,A080382,A090382
A000383,A0A0383,A020383,A030383,A040383,A050383,A060383,A070383,A080383,A090383
A000384,A0A0384,A020384,A030384,A040384,A050384,A060384,A070384,A080384,A090384
A000385,A0A0385,A020385,A030385,A040385,A050385,A060385,A070385,A080385,A090385
A000386,A0A0386,A020386,A030386,A040386,A050386,A060386,A070386,A080386,A090386
A000387,A0A0387,A020387,A030387,A040387,A050387,A060387,A070387,A080387,A090387
A000388,A0A0388,A020388,A030388,A040388,A050388,A060388,A070388,A080388,A090388
A000389,A0A0389,A020389,A030389,A040389,A050389,A060389,A070389,A080389,A090389
A000390,A0A0390,A020390,A030390,A040390,A050390,A060390,A070390,A080390,A090390
A00039A,A0A039A,A02039A,A03039A,A04039A,A05039A,A06039A,A07039A,A08039A,A09039A
A000392,A0A0392,A020392,A030392,A040392,A050392,A060392,A070392,A080392,A090392
A000393,A0A0393,A020393,A030393,A040393,A050393,A060393,A070393,A080393,A090393
A000394,A0A0394,A020394,A030394,A040394,A050394,A060394,A070394,A080394,A090394
A000395,A0A0395,A020395,A030395,A040395,A050395,A060395,A070395,A080395,A090395
A000396,A0A0396,A020396,A030396,A040396,A050396,A060396,A070396,A080396,A090396
A000397,A0A0397,A020397,A030397,A040397,A050397,A060397,A070397,A080397,A090397
A000398,A0A0398,A020398,A030398,A040398,A050398,A060398,A070398,A080398,A090398
A000399,A0A0399,A020399,A030399,A040399,A050399,A060399,A070399,A080399,A090399
A000400,A0A0400,A020400,A030400,A040400,A050400,A060400,A070400,A080400,A090400
A00040A,A0A040A,A02040A,A03040A,A04040A,A05040A,A06040A,A07040A,A08040A,A09040A
A000402,A0A0402,A020402,A030402,A040402,A050402,A060402,A070402,A080402,A090402
A000403,A0A0403,A020403,A030403,A040403,A050403,A060403,A070403,A080403,A090403
A000404,A0A0404,A020404,A030404,A040404,A050404,A060404,A070404,A080404,A090404
A000405,A0A0405,A020405,A030405,A040405,A050405,A060405,A070405,A080405,A090405
A000406,A0A0406,A020406,A030406,A040406,A050406,A060406,A070406,A080406,A090406
A000407,A0A0407,A020407,A030407,A040407,A050407,A060407,A070407,A080407,A090407
A000408,A0A0408,A020408,A030408,A040408,A050408,A060408,A070408,A080408,A090408
A000409,A0A0409,A020409,A030409,A040409,A050409,A060409,A070409,A080409,A090409
A0004A0,A0A04A0,A0204A0,A0304A0,A0404A0,A0504A0,A0604A0,A0704A0,A0804A0,A0904A0
A0004AA,A0A04AA,A0204AA,A0304AA,A0404AA,A0504AA,A0604AA,A0704AA,A0804AA,A0904AA
A0004A2,A0A04A2,A0204A2,A0304A2,A0404A2,A0504A2,A0604A2,A0704A2,A0804A2,A0904A2
A0004A3,A0A04A3,A0204A3,A0304A3,A0404A3,A0504A3,A0604A3,A0704A3,A0804A3,A0904A3
A0004A4,A0A04A4,A0204A4,A0304A4,A0404A4,A0504A4,A0604A4,A0704A4,A0804A4,A0904A4
A0004A5,A0A04A5,A0204A5,A0304A5,A0404A5,A0504A5,A0604A5,A0704A5,A0804A5,A0904A5
A0004A6,A0A04A6,A0204A6,A0304A6,A0404A6,A0504A6,A0604A6,A0704A6,A0804A6,A0904A6
A0004A7,A0A04A7,A0204A7,A0304A7,A0404A7,A0504A7,A0604A7,A0704A7,A0804A7,A0904A7
A0004A8,A0A04A8,A0204A8,A0304A8,A0404A8,A0504A8,A0604A8,A0704A8,A0804A8,A0904A8
A0004A9,A0A04A9,A0204A9,A0304A9,A0404A9,A0504A9,A0604A9,A0704A9,A0804A9,A0904A9
A000420,A0A0420,A020420,A030420,A040420,A050420,A060420,A070420,A080420,A090420
A00042A,A0A042A,A02042A,A03042A,A04042A,A05042A,A06042A,A07042A,A08042A,A09042A
A000422,A0A0422,A020422,A030422,A040422,A050422,A060422,A070422,A080422,A090422
A000423,A0A0423,A020423,A030423,A040423,A050423,A060423,A070423,A080423,A090423
A000424,A0A0424,A020424,A030424,A040424,A050424,A060424,A070424,A080424,A090424
A000425,A0A0425,A020425,A030425,A040425,A050425,A060425,A070425,A080425,A090425
A000426,A0A0426,A020426,A030426,A040426,A050426,A060426,A070426,A080426,A090426
A000427,A0A0427,A020427,A030427,A040427,A050427,A060427,A070427,A080427,A090427
A000428,A0A0428,A020428,A030428,A040428,A050428,A060428,A070428,A080428,A090428
A000429,A0A0429,A020429,A030429,A040429,A050429,A060429,A070429,A080429,A090429
A000430,A0A0430,A020430,A030430,A040430,A050430,A060430,A070430,A080430,A090430
A00043A,A0A043A,A02043A,A03043A,A04043A,A05043A,A06043A,A07043A,A08043A,A09043A
A000432,A0A0432,A020432,A030432,A040432,A050432,A060432,A070432,A080432,A090432
A000433,A0A0433,A020433,A030433,A040433,A050433,A060433,A070433,A080433,A090433
A000434,A0A0434,A020434,A030434,A040434,A050434,A060434,A070434,A080434,A090434
A000435,A0A0435,A020435,A030435,A040435,A050435,A060435,A070435,A080435,A090435
A000436,A0A0436,A020436,A030436,A040436,A050436,A060436,A070436,A080436,A090436
A000437,A0A0437,A020437,A030437,A040437,A050437,A060437,A070437,A080437,A090437
A000438,A0A0438,A020438,A030438,A040438,A050438,A060438,A070438,A080438,A090438
A000439,A0A0439,A020439,A030439,A040439,A050439,A060439,A070439,A080439,A090439
A000440,A0A0440,A020440,A030440,A040440,A050440,A060440,A070440,A080440,A090440
A00044A,A0A044A,A02044A,A03044A,A04044A,A05044A,A06044A,A07044A,A08044A,A09044A
A000442,A0A0442,A020442,A030442,A040442,A050442,A060442,A070442,A080442,A090442
A000443,A0A0443,A020443,A030443,A040443,A050443,A060443,A070443,A080443,A090443
A000444,A0A0444,A020444,A030444,A040444,A050444,A060444,A070444,A080444,A090444
A000445,A0A0445,A020445,A030445,A040445,A050445,A060445,A070445,A080445,A090445
A000446,A0A0446,A020446,A030446,A040446,A050446,A060446,A070446,A080446,A090446
A000447,A0A0447,A020447,A030447,A040447,A050447,A060447,A070447,A080447,A090447
A000448,A0A0448,A020448,A030448,A040448,A050448,A060448,A070448,A080448,A090448
A000449,A0A0449,A020449,A030449,A040449,A050449,A060449,A070449,A080449,A090449
A000450,A0A0450,A020450,A030450,A040450,A050450,A060450,A070450,A080450,A090450
A00045A,A0A045A,A02045A,A03045A,A04045A,A05045A,A06045A,A07045A,A08045A,A09045A
A000452,A0A0452,A020452,A030452,A040452,A050452,A060452,A070452,A080452,A090452
A000453,A0A0453,A020453,A030453,A040453,A050453,A060453,A070453,A080453,A090453
A000454,A0A0454,A020454,A030454,A040454,A050454,A060454,A070454,A080454,A090454
A000455,A0A0455,A020455,A030455,A040455,A050455,A060455,A070455,A080455,A090455
A000456,A0A0456,A020456,A030456,A040456,A050456,A060456,A070456,A080456,A090456
A000457,A0A0457,A020457,A030457,A040457,A050457,A060457,A070457,A080457,A090457
A000458,A0A0458,A020458,A030458,A040458,A050458,A060458,A070458,A080458,A090458
A000459,A0A0459,A020459,A030459,A040459,A050459,A060459,A070459,A080459,A090459
A000460,A0A0460,A020460,A030460,A040460,A050460,A060460,A070460,A080460,A090460
A00046A,A0A046A,A02046A,A03046A,A04046A,A05046A,A06046A,A07046A,A08046A,A09046A
A000462,A0A0462,A020462,A030462,A040462,A050462,A060462,A070462,A080462,A090462
A000463,A0A0463,A020463,A030463,A040463,A050463,A060463,A070463,A080463,A090463
A000464,A0A0464,A020464,A030464,A040464,A050464,A060464,A070464,A080464,A090464
A000465,A0A0465,A020465,A030465,A040465,A050465,A060465,A070465,A080465,A090465
A000466,A0A0466,A020466,A030466,A040466,A050466,A060466,A070466,A080466,A090466
A000467,A0A0467,A020467,A030467,A040467,A050467,A060467,A070467,A080467,A090467
A000468,A0A0468,A020468,A030468,A040468,A050468,A060468,A070468,A080468,A090468
A000469,A0A0469,A020469,A030469,A040469,A050469,A060469,A070469,A080469,A090469
A000470,A0A0470,A020470,A030470,A040470,A050470,A060470,A070470,A080470,A090470
A00047A,A0A047A,A02047A,A03047A,A04047A,A05047A,A06047A,A07047A,A08047A,A09047A
A000472,A0A0472,A020472,A030472,A040472,A050472,A060472,A070472,A080472,A090472
A000473,A0A0473,A020473,A030473,A040473,A050473,A060473,A070473,A080473,A090473
A000474,A0A0474,A020474,A030474,A040474,A050474,A060474,A070474,A080474,A090474
A000475,A0A0475,A020475,A030475,A040475,A050475,A060475,A070475,A080475,A090475
A000476,A0A0476,A020476,A030476,A040476,A050476,A060476,A070476,A080476,A090476
A000477,A0A0477,A020477,A030477,A040477,A050477,A060477,A070477,A080477,A090477
A000478,A0A0478,A020478,A030478,A040478,A050478,A060478,A070478,A080478,A090478
A000479,A0A0479,A020479,A030479,A040479,A050479,A060479,A070479,A080479,A090479
A000480,A0A0480,A020480,A030480,A040480,A050480,A060480,A070480,A080480,A090480
A00048A,A0A048A,A02048A,A03048A,A04048A,A05048A,A06048A,A07048A,A08048A,A09048A
A000482,A0A0482,A020482,A030482,A040482,A050482,A060482,A070482,A080482,A090482
A000483,A0A0483,A020483,A030483,A040483,A050483,A060483,A070483,A080483,A090483
A000484,A0A0484,A020484,A030484,A040484,A050484,A060484,A070484,A080484,A090484
A000485,A0A0485,A020485,A030485,A040485,A050485,A060485,A070485,A080485,A090485
A000486,A0A0486,A020486,A030486,A040486,A050486,A060486,A070486,A080486,A090486
A000487,A0A0487,A020487,A030487,A040487,A050487,A060487,A070487,A080487,A090487
A000488,A0A0488,A020488,A030488,A040488,A050488,A060488,A070488,A080488,A090488
A000489,A0A0489,A020489,A030489,A040489,A050489,A060489,A070489,A080489,A090489
A000490,A0A0490,A020490,A030490,A040490,A050490,A060490,A070490,A080490,A090490
A00049A,A0A049A,A02049A,A03049A,A04049A,A05049A,A06049A,A07049A,A08049A,A09049A
A000492,A0A0492,A020492,A030492,A040492,A050492,A060492,A070492,A080492,A090492
A000493,A0A0493,A020493,A030493,A040493,A050493,A060493,A070493,A080493,A090493
A000494,A0A0494,A020494,A030494,A040494,A050494,A060494,A070494,A080494,A090494
A000495,A0A0495,A020495,A030495,A040495,A050495,A060495,A070495,A080495,A090495
A000496,A0A0496,A020496,A030496,A040496,A050496,A060496,A070496,A080496,A090496
A000497,A0A0497,A020497,A030497,A040497,A050497,A060497,A070497,A080497,A090497
A000498,A0A0498,A020498,A030498,A040498,A050498,A060498,A070498,A080498,A090498
A000499,A0A0499,A020499,A030499,A040499,A050499,A060499,A070499,A080499,A090499
A000500,A0A0500,A020500,A030500,A040500,A050500,A060500,A070500,A080500,A090500
A00050A,A0A050A,A02050A,A03050A,A04050A,A05050A,A06050A,A07050A,A08050A,A09050A
A000502,A0A0502,A020502,A030502,A040502,A050502,A060502,A070502,A080502,A090502
A000503,A0A0503,A020503,A030503,A040503,A050503,A060503,A070503,A080503,A090503
A000504,A0A0504,A020504,A030504,A040504,A050504,A060504,A070504,A080504,A090504
A000505,A0A0505,A020505,A030505,A040505,A050505,A060505,A070505,A080505,A090505
A000506,A0A0506,A020506,A030506,A040506,A050506,A060506,A070506,A080506,A090506
A000507,A0A0507,A020507,A030507,A040507,A050507,A060507,A070507,A080507,A090507
A000508,A0A0508,A020508,A030508,A040508,A050508,A060508,A070508,A080508,A090508
A000509,A0A0509,A020509,A030509,A040509,A050509,A060509,A070509,A080509,A090509
A0005A0,A0A05A0,A0205A0,A0305A0,A0405A0,A0505A0,A0605A0,A0705A0,A0805A0,A0905A0
A0005AA,A0A05AA,A0205AA,A0305AA,A0405AA,A0505AA,A0605AA,A0705AA,A0805AA,A0905AA
A0005A2,A0A05A2,A0205A2,A0305A2,A0405A2,A0505A2,A0605A2,A0705A2,A0805A2,A0905A2
A0005A3,A0A05A3,A0205A3,A0305A3,A0405A3,A0505A3,A0605A3,A0705A3,A0805A3,A0905A3
A0005A4,A0A05A4,A0205A4,A0305A4,A0405A4,A0505A4,A0605A4,A0705A4,A0805A4,A0905A4
A0005A5,A0A05A5,A0205A5,A0305A5,A0405A5,A0505A5,A0605A5,A0705A5,A0805A5,A0905A5
A0005A6,A0A05A6,A0205A6,A0305A6,A0405A6,A0505A6,A0605A6,A0705A6,A0805A6,A0905A6
A0005A7,A0A05A7,A0205A7,A0305A7,A0405A7,A0505A7,A0605A7,A0705A7,A0805A7,A0905A7
A0005A8,A0A05A8,A0205A8,A0305A8,A0405A8,A0505A8,A0605A8,A0705A8,A0805A8,A0905A8
A0005A9,A0A05A9,A0205A9,A0305A9,A0405A9,A0505A9,A0605A9,A0705A9,A0805A9,A0905A9
A000520,A0A0520,A020520,A030520,A040520,A050520,A060520,A070520,A080520,A090520
A00052A,A0A052A,A02052A,A03052A,A04052A,A05052A,A06052A,A07052A,A08052A,A09052A
A000522,A0A0522,A020522,A030522,A040522,A050522,A060522,A070522,A080522,A090522
A000523,A0A0523,A020523,A030523,A040523,A050523,A060523,A070523,A080523,A090523
A000524,A0A0524,A020524,A030524,A040524,A050524,A060524,A070524,A080524,A090524
A000525,A0A0525,A020525,A030525,A040525,A050525,A060525,A070525,A080525,A090525
A000526,A0A0526,A020526,A030526,A040526,A050526,A060526,A070526,A080526,A090526
A000527,A0A0527,A020527,A030527,A040527,A050527,A060527,A070527,A080527,A090527
A000528,A0A0528,A020528,A030528,A040528,A050528,A060528,A070528,A080528,A090528
A000529,A0A0529,A020529,A030529,A040529,A050529,A060529,A070529,A080529,A090529
A000530,A0A0530,A020530,A030530,A040530,A050530,A060530,A070530,A080530,A090530
A00053A,A0A053A,A02053A,A03053A,A04053A,A05053A,A06053A,A07053A,A08053A,A09053A
A000532,A0A0532,A020532,A030532,A040532,A050532,A060532,A070532,A080532,A090532
A000533,A0A0533,A020533,A030533,A040533,A050533,A060533,A070533,A080533,A090533
A000534,A0A0534,A020534,A030534,A040534,A050534,A060534,A070534,A080534,A090534
A000535,A0A0535,A020535,A030535,A040535,A050535,A060535,A070535,A080535,A090535
A000536,A0A0536,A020536,A030536,A040536,A050536,A060536,A070536,A080536,A090536
A000537,A0A0537,A020537,A030537,A040537,A050537,A060537,A070537,A080537,A090537
A000538,A0A0538,A020538,A030538,A040538,A050538,A060538,A070538,A080538,A090538
A000539,A0A0539,A020539,A030539,A040539,A050539,A060539,A070539,A080539,A090539
A000540,A0A0540,A020540,A030540,A040540,A050540,A060540,A070540,A080540,A090540
A00054A,A0A054A,A02054A,A03054A,A04054A,A05054A,A06054A,A07054A,A08054A,A09054A
A000542,A0A0542,A020542,A030542,A040542,A050542,A060542,A070542,A080542,A090542
A000543,A0A0543,A020543,A030543,A040543,A050543,A060543,A070543,A080543,A090543
A000544,A0A0544,A020544,A030544,A040544,A050544,A060544,A070544,A080544,A090544
A000545,A0A0545,A020545,A030545,A040545,A050545,A060545,A070545,A080545,A090545
A000546,A0A0546,A020546,A030546,A040546,A050546,A060546,A070546,A080546,A090546
A000547,A0A0547,A020547,A030547,A040547,A050547,A060547,A070547,A080547,A090547
A000548,A0A0548,A020548,A030548,A040548,A050548,A060548,A070548,A080548,A090548
A000549,A0A0549,A020549,A030549,A040549,A050549,A060549,A070549,A080549,A090549
A000550,A0A0550,A020550,A030550,A040550,A050550,A060550,A070550,A080550,A090550
A00055A,A0A055A,A02055A,A03055A,A04055A,A05055A,A06055A,A07055A,A08055A,A09055A
A000552,A0A0552,A020552,A030552,A040552,A050552,A060552,A070552,A080552,A090552
A000553,A0A0553,A020553,A030553,A040553,A050553,A060553,A070553,A080553,A090553
A000554,A0A0554,A020554,A030554,A040554,A050554,A060554,A070554,A080554,A090554
A000555,A0A0555,A020555,A030555,A040555,A050555,A060555,A070555,A080555,A090555
A000556,A0A0556,A020556,A030556,A040556,A050556,A060556,A070556,A080556,A090556
A000557,A0A0557,A020557,A030557,A040557,A050557,A060557,A070557,A080557,A090557
A000558,A0A0558,A020558,A030558,A040558,A050558,A060558,A070558,A080558,A090558
A000559,A0A0559,A020559,A030559,A040559,A050559,A060559,A070559,A080559,A090559
A000560,A0A0560,A020560,A030560,A040560,A050560,A060560,A070560,A080560,A090560
A00056A,A0A056A,A02056A,A03056A,A04056A,A05056A,A06056A,A07056A,A08056A,A09056A
A000562,A0A0562,A020562,A030562,A040562,A050562,A060562,A070562,A080562,A090562
A000563,A0A0563,A020563,A030563,A040563,A050563,A060563,A070563,A080563,A090563
A000564,A0A0564,A020564,A030564,A040564,A050564,A060564,A070564,A080564,A090564
A000565,A0A0565,A020565,A030565,A040565,A050565,A060565,A070565,A080565,A090565
A000566,A0A0566,A020566,A030566,A040566,A050566,A060566,A070566,A080566,A090566
A000567,A0A0567,A020567,A030567,A040567,A050567,A060567,A070567,A080567,A090567
A000568,A0A0568,A020568,A030568,A040568,A050568,A060568,A070568,A080568,A090568
A000569,A0A0569,A020569,A030569,A040569,A050569,A060569,A070569,A080569,A090569
A000570,A0A0570,A020570,A030570,A040570,A050570,A060570,A070570,A080570,A090570
A00057A,A0A057A,A02057A,A03057A,A04057A,A05057A,A06057A,A07057A,A08057A,A09057A
A000572,A0A0572,A020572,A030572,A040572,A050572,A060572,A070572,A080572,A090572
A000573,A0A0573,A020573,A030573,A040573,A050573,A060573,A070573,A080573,A090573
A000574,A0A0574,A020574,A030574,A040574,A050574,A060574,A070574,A080574,A090574
A000575,A0A0575,A020575,A030575,A040575,A050575,A060575,A070575,A080575,A090575
A000576,A0A0576,A020576,A030576,A040576,A050576,A060576,A070576,A080576,A090576
A000577,A0A0577,A020577,A030577,A040577,A050577,A060577,A070577,A080577,A090577
A000578,A0A0578,A020578,A030578,A040578,A050578,A060578,A070578,A080578,A090578
A000579,A0A0579,A020579,A030579,A040579,A050579,A060579,A070579,A080579,A090579
A000580,A0A0580,A020580,A030580,A040580,A050580,A060580,A070580,A080580,A090580
A00058A,A0A058A,A02058A,A03058A,A04058A,A05058A,A06058A,A07058A,A08058A,A09058A
A000582,A0A0582,A020582,A030582,A040582,A050582,A060582,A070582,A080582,A090582
A000583,A0A0583,A020583,A030583,A040583,A050583,A060583,A070583,A080583,A090583
A000584,A0A0584,A020584,A030584,A040584,A050584,A060584,A070584,A080584,A090584
A000585,A0A0585,A020585,A030585,A040585,A050585,A060585,A070585,A080585,A090585
A000586,A0A0586,A020586,A030586,A040586,A050586,A060586,A070586,A080586,A090586
A000587,A0A0587,A020587,A030587,A040587,A050587,A060587,A070587,A080587,A090587
A000588,A0A0588,A020588,A030588,A040588,A050588,A060588,A070588,A080588,A090588
A000589,A0A0589,A020589,A030589,A040589,A050589,A060589,A070589,A080589,A090589
A000590,A0A0590,A020590,A030590,A040590,A050590,A060590,A070590,A080590,A090590
A00059A,A0A059A,A02059A,A03059A,A04059A,A05059A,A06059A,A07059A,A08059A,A09059A
A000592,A0A0592,A020592,A030592,A040592,A050592,A060592,A070592,A080592,A090592
A000593,A0A0593,A020593,A030593,A040593,A050593,A060593,A070593,A080593,A090593
A000594,A0A0594,A020594,A030594,A040594,A050594,A060594,A070594,A080594,A090594
A000595,A0A0595,A020595,A030595,A040595,A050595,A060595,A070595,A080595,A090595
A000596,A0A0596,A020596,A030596,A040596,A050596,A060596,A070596,A080596,A090596
A000597,A0A0597,A020597,A030597,A040597,A050597,A060597,A070597,A080597,A090597
A000598,A0A0598,A020598,A030598,A040598,A050598,A060598,A070598,A080598,A090598
A000599,A0A0599,A020599,A030599,A040599,A050599,A060599,A070599,A080599,A090599
A000600,A0A0600,A020600,A030600,A040600,A050600,A060600,A070600,A080600,A090600
A00060A,A0A060A,A02060A,A03060A,A04060A,A05060A,A06060A,A07060A,A08060A,A09060A
A000602,A0A0602,A020602,A030602,A040602,A050602,A060602,A070602,A080602,A090602
